Dataset: Wine,,,,,,,,,
SMOTEBoost,0.73 ± 0.106,0.22 ± 0.062,0.137 ± 0.052,0.199 ± 0.023,0.187 ± 0.052,0.135 ± 0.068,0.22 ± 0.062,0.73 ± 0.106,0.221 ± 0.062
,,,,,,,,,
Dataset: Vertebral_Column,,,,,,,,,
Algorithm,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
LogitBoost,0.874 ± 0.022,0.852 ± 0.045,0.852 ± 0.048,0.862 ± 0.034,0.776 ± 0.057,0.767 ± 0.068,0.852 ± 0.045,0.874 ± 0.022,0.829 ± 0.037
MEBoost,0.776 ± 0.056,0.697 ± 0.036,0.68 ± 0.046,0.733 ± 0.037,0.582 ± 0.047,0.538 ± 0.052,0.697 ± 0.036,0.776 ± 0.056,0.67 ± 0.035
AdaBoost,0.873 ± 0.015,0.861 ± 0.016,0.862 ± 0.016,0.867 ± 0.015,0.784 ± 0.025,0.779 ± 0.025,0.861 ± 0.016,0.873 ± 0.015,0.828 ± 0.011
RUSBoost,0.803 ± 0.018,0.742 ± 0.048,0.739 ± 0.055,0.771 ± 0.034,0.634 ± 0.049,0.605 ± 0.067,0.742 ± 0.048,0.803 ± 0.018,0.73 ± 0.046
GradientBoostingC,0.861 ± 0.016,0.858 ± 0.012,0.856 ± 0.012,0.86 ± 0.014,0.775 ± 0.021,0.772 ± 0.019,0.858 ± 0.012,0.861 ± 0.016,0.81 ± 0.016
XGBClassifier,0.809 ± 0.024,0.81 ± 0.021,0.805 ± 0.022,0.809 ± 0.022,0.697 ± 0.034,0.693 ± 0.034,0.81 ± 0.021,0.809 ± 0.024,0.746 ± 0.037
CatBoost,0.843 ± 0.033,0.839 ± 0.023,0.834 ± 0.023,0.841 ± 0.028,0.744 ± 0.041,0.739 ± 0.037,0.839 ± 0.023,0.843 ± 0.033,0.778 ± 0.032
SMOTEBoost,0.698 ± 0.156,0.587 ± 0.161,0.546 ± 0.145,0.636 ± 0.16,0.449 ± 0.234,0.397 ± 0.209,0.587 ± 0.161,0.698 ± 0.156,0.61 ± 0.116
,,,,,,,,,
Dataset: Differentiated_Thyroid_Cancer_Recurrence,,,,,,,,,
Algorithm,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
LogitBoost,0.98 ± 0.014,0.979 ± 0.015,0.979 ± 0.015,0.979 ± 0.015,0.948 ± 0.037,0.947 ± 0.037,0.979 ± 0.015,0.98 ± 0.014,0.966 ± 0.024
MEBoost,0.951 ± 0.014,0.95 ± 0.013,0.95 ± 0.014,0.951 ± 0.014,0.876 ± 0.034,0.874 ± 0.034,0.95 ± 0.013,0.951 ± 0.014,0.923 ± 0.016
AdaBoost,0.97 ± 0.016,0.969 ± 0.017,0.969 ± 0.017,0.969 ± 0.016,0.924 ± 0.04,0.924 ± 0.04,0.969 ± 0.017,0.97 ± 0.016,0.967 ± 0.016
RUSBoost,0.948 ± 0.016,0.945 ± 0.017,0.943 ± 0.018,0.946 ± 0.016,0.864 ± 0.042,0.857 ± 0.046,0.945 ± 0.017,0.948 ± 0.016,0.908 ± 0.028
GradientBoostingC,0.962 ± 0.013,0.961 ± 0.013,0.96 ± 0.013,0.961 ± 0.013,0.904 ± 0.031,0.902 ± 0.031,0.961 ± 0.013,0.962 ± 0.013,0.942 ± 0.012
XGBClassifier,0.956 ± 0.015,0.956 ± 0.015,0.956 ± 0.015,0.956 ± 0.015,0.89 ± 0.036,0.89 ± 0.036,0.956 ± 0.015,0.956 ± 0.015,0.944 ± 0.017
CatBoost,0.961 ± 0.017,0.961 ± 0.017,0.96 ± 0.017,0.961 ± 0.017,0.902 ± 0.043,0.901 ± 0.043,0.961 ± 0.017,0.961 ± 0.017,0.942 ± 0.022
SMOTEBoost,0.936 ± 0.02,0.935 ± 0.02,0.935 ± 0.02,0.935 ± 0.02,0.84 ± 0.049,0.84 ± 0.049,0.935 ± 0.02,0.936 ± 0.02,0.924 ± 0.027
,,,,,,,,,
Dataset: Dermatology,,,,,,,,,
Algorithm,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
LogitBoost,0.97 ± 0.032,0.967 ± 0.036,0.966 ± 0.036,0.968 ± 0.034,0.959 ± 0.044,0.958 ± 0.046,0.967 ± 0.036,0.97 ± 0.032,0.958 ± 0.045
MEBoost,0.839 ± 0.006,0.687 ± 0.009,0.586 ± 0.007,0.603 ± 0.006,0.652 ± 0.012,0.583 ± 0.013,0.687 ± 0.009,0.839 ± 0.006,0.651 ± 0.018
AdaBoost,0.981 ± 0.017,0.981 ± 0.017,0.98 ± 0.017,0.981 ± 0.017,0.976 ± 0.021,0.975 ± 0.022,0.981 ± 0.017,0.981 ± 0.017,0.978 ± 0.019
RUSBoost,0.8 ± 0.026,0.721 ± 0.039,0.71 ± 0.04,0.758 ± 0.033,0.673 ± 0.045,0.647 ± 0.048,0.721 ± 0.039,0.8 ± 0.026,0.619 ± 0.048
GradientBoostingC,0.955 ± 0.017,0.95 ± 0.02,0.948 ± 0.021,0.953 ± 0.019,0.939 ± 0.025,0.936 ± 0.026,0.95 ± 0.02,0.955 ± 0.017,0.943 ± 0.023
XGBClassifier,0.963 ± 0.019,0.961 ± 0.02,0.961 ± 0.02,0.962 ± 0.019,0.952 ± 0.024,0.951 ± 0.025,0.961 ± 0.02,0.963 ± 0.019,0.959 ± 0.023
CatBoost,0.975 ± 0.008,0.972 ± 0.01,0.972 ± 0.011,0.974 ± 0.009,0.966 ± 0.012,0.965 ± 0.013,0.972 ± 0.01,0.975 ± 0.008,0.969 ± 0.016
SMOTEBoost,0.936 ± 0.02,0.935 ± 0.02,0.935 ± 0.02,0.935 ± 0.02,0.84 ± 0.049,0.84 ± 0.049,0.935 ± 0.02,0.936 ± 0.02,0.924 ± 0.027
,,,,,,,,,
Dataset: Balance_Scale,,,,,,,,,
Algorithm,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
LogitBoost,0.929 ± 0.001,0.573 ± 0.064,0.662 ± 0.059,0.706 ± 0.05,0.511 ± 0.051,0.418 ± 0.067,0.573 ± 0.064,0.929 ± 0.001,0.685 ± 0.047
MEBoost,0.836 ± 0.064,0.263 ± 0.065,0.299 ± 0.08,0.393 ± 0.071,0.199 ± 0.022,0.111 ± 0.035,0.263 ± 0.065,0.836 ± 0.064,0.426 ± 0.021
AdaBoost,0.862 ± 0.028,0.856 ± 0.026,0.857 ± 0.025,0.859 ± 0.026,0.749 ± 0.044,0.748 ± 0.044,0.856 ± 0.026,0.862 ± 0.028,0.737 ± 0.062
RUSBoost,0.641 ± 0.056,0.586 ± 0.052,0.555 ± 0.05,0.587 ± 0.037,0.28 ± 0.066,0.255 ± 0.063,0.586 ± 0.052,0.641 ± 0.056,0.424 ± 0.037
GradientBoostingC,0.843 ± 0.024,0.835 ± 0.014,0.837 ± 0.016,0.839 ± 0.018,0.715 ± 0.029,0.713 ± 0.028,0.835 ± 0.014,0.843 ± 0.024,0.743 ± 0.073
XGBClassifier,0.816 ± 0.023,0.834 ± 0.024,0.816 ± 0.016,0.825 ± 0.023,0.702 ± 0.041,0.698 ± 0.039,0.834 ± 0.024,0.816 ± 0.023,0.637 ± 0.015
CatBoost,0.754 ± 0.013,0.798 ± 0.02,0.775 ± 0.014,0.775 ± 0.015,0.637 ± 0.036,0.632 ± 0.034,0.798 ± 0.02,0.754 ± 0.013,0.578 ± 0.016
SMOTEBoost,0.793 ± 0.045,0.501 ± 0.038,0.593 ± 0.034,0.614 ± 0.04,0.35 ± 0.055,0.298 ± 0.049,0.501 ± 0.038,0.793 ± 0.045,0.476 ± 0.057
,,,,,,,,,
Dataset: Glass_Identification,,,,,,,,,
Algorithm,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
LogitBoost,0.837 ± 0.05,0.758 ± 0.091,0.744 ± 0.104,0.783 ± 0.088,0.696 ± 0.115,0.665 ± 0.127,0.758 ± 0.091,0.837 ± 0.05,0.741 ± 0.138
MEBoost,0.796 ± 0.012,0.491 ± 0.026,0.381 ± 0.042,0.558 ± 0.029,0.411 ± 0.043,0.272 ± 0.043,0.491 ± 0.026,0.796 ± 0.012,0.376 ± 0.05
AdaBoost,0.799 ± 0.024,0.757 ± 0.039,0.743 ± 0.048,0.764 ± 0.049,0.678 ± 0.049,0.663 ± 0.056,0.757 ± 0.039,0.799 ± 0.024,0.736 ± 0.042
RUSBoost,0.623 ± 0.033,0.509 ± 0.014,0.447 ± 0.022,0.49 ± 0.028,0.351 ± 0.03,0.316 ± 0.028,0.509 ± 0.014,0.623 ± 0.033,0.374 ± 0.038
GradientBoostingC,0.797 ± 0.033,0.753 ± 0.042,0.725 ± 0.049,0.746 ± 0.052,0.671 ± 0.056,0.653 ± 0.062,0.753 ± 0.042,0.797 ± 0.033,0.683 ± 0.093
XGBClassifier,0.749 ± 0.03,0.757 ± 0.038,0.736 ± 0.029,0.745 ± 0.025,0.669 ± 0.05,0.663 ± 0.05,0.757 ± 0.038,0.749 ± 0.03,0.652 ± 0.048
CatBoost,0.767 ± 0.067,0.752 ± 0.055,0.732 ± 0.049,0.753 ± 0.058,0.659 ± 0.078,0.655 ± 0.077,0.752 ± 0.055,0.767 ± 0.067,0.636 ± 0.085
SMOTEBoost,0.46 ± 0.051,0.425 ± 0.018,0.32 ± 0.061,0.352 ± 0.084,0.236 ± 0.029,0.198 ± 0.015,0.425 ± 0.018,0.46 ± 0.051,0.394 ± 0.071
,,,,,,,,,
