Dataset: Yeast;;;;;;;;;;
Preprocessor;Boosters;Precision;Recall;F1;G-mean;MMCC;Kappa;Weighted Accuracy;PR Score;Balanced Accuracy
minmax;AdaBoost;0,807;0,787;0,762;0,797;0,657;0,628;0,787;0,807;0,735
minmax;RUSBoost;0,742;0,697;0,680;0,718;0,546;0,512;0,697;0,742;0,668
minmax;GradientBoostingClassifier;0,791;0,777;0,751;0,784;0,639;0,611;0,777;0,791;0,705
robust;LogitBoost;0,886;0,862;0,861;0,874;0,793;0,783;0,862;0,886;0,845
robust;MEBoost;0,775;0,774;0,773;0,774;0,640;0,638;0,774;0,775;0,696
robust;AdaBoost;0,883;0,868;0,869;0,875;0,796;0,790;0,868;0,883;0,845
robust;RUSBoost;0,799;0,726;0,724;0,760;0,615;0,583;0,726;0,799;0,719
robust;GradientBoostingClassifier;0,892;0,884;0,882;0,888;0,818;0,813;0,884;0,892;0,846
normalizer;LogitBoost;0,902;0,888;0,887;0,894;0,830;0,824;0,888;0,902;0,866
normalizer;MEBoost;0,805;0,784;0,790;0,794;0,664;0,660;0,784;0,805;0,736
normalizer;AdaBoost;0,867;0,868;0,866;0,868;0,789;0,788;0,868;0,867;0,820
normalizer;RUSBoost;0,870;0,652;0,570;0,595;0,580;0,481;0,652;0,870;0,649
normalizer;GradientBoostingClassifier;0,852;0,852;0,849;0,852;0,764;0,762;0,852;0,852;0,800
power;LogitBoost;0,893;0,868;0,868;0,880;0,803;0,793;0,868;0,893;0,854
power;MEBoost;0,872;0,684;0,628;0,767;0,611;0,526;0,684;0,872;0,681
power;AdaBoost;0,884;0,871;0,871;0,877;0,800;0,795;0,871;0,884;0,843
power;RUSBoost;0,805;0,739;0,734;0,770;0,633;0,601;0,739;0,805;0,729
power;GradientBoostingClassifier;0,870;0,868;0,866;0,869;0,790;0,787;0,868;0,870;0,822
quantile;LogitBoost;0,891;0,862;0,861;0,876;0,795;0,783;0,862;0,891;0,849
quantile;MEBoost;0,785;0,749;0,749;0,766;0,625;0,608;0,749;0,785;0,709
quantile;AdaBoost;0,894;0,878;0,878;0,886;0,813;0,806;0,878;0,894;0,863
quantile;RUSBoost;0,794;0,726;0,723;0,758;0,613;0,582;0,726;0,794;0,717
quantile;GradientBoostingClassifier;0,869;0,868;0,867;0,869;0,790;0,788;0,868;0,869;0,824
polynomial;LogitBoost;0,935;0,926;0,927;0,930;0,887;0,884;0,926;0,935;0,916
polynomial;MEBoost;0,869;0,665;0,582;0,652;0,593;0,498;0,665;0,869;0,659
polynomial;AdaBoost;0,916;0,913;0,913;0,914;0,863;0,862;0,913;0,916;0,895
polynomial;RUSBoost;0,849;0,803;0,811;0,825;0,709;0,696;0,803;0,849;0,792
polynomial;GradientBoostingClassifier;0,905;0,907;0,905;0,906;0,851;0,850;0,907;0,905;0,875
kbins;LogitBoost;0,741;0,646;0,632;0,689;0,511;0,468;0,646;0,741;0,642
kbins;MEBoost;0,808;0,426;0,377;0,487;0,321;0,245;0,426;0,808;0,492
kbins;AdaBoost;0,770;0,732;0,730;0,750;0,596;0,580;0,732;0,770;0,710
kbins;RUSBoost;0,685;0,594;0,602;0,636;0,409;0,385;0,594;0,685;0,612
kbins;GradientBoostingClassifier;0,752;0,736;0,736;0,743;0,589;0,581;0,736;0,752;0,703
Dataset: Thyroid_Disease;;;;;;;;;;
Preprocessor;Boosters;Precision;Recall;F1;G-mean;MMCC;Kappa;Weighted Accuracy;PR Score;Balanced Accuracy
standard;LogitBoost;0,953;0,949;0,947;0,951;0,890;0,883;0,949;0,953;0,885
standard;MEBoost;0,939;0,935;0,933;0,937;0,860;0,853;0,935;0,939;0,879
standard;AdaBoost;0,965;0,963;0,961;0,964;0,920;0,915;0,963;0,965;0,919
standard;RUSBoost;0,846;0,819;0,757;0,759;0,583;0,531;0,819;0,846;0,611
standard;GradientBoostingClassifier;0,961;0,958;0,957;0,959;0,910;0,905;0,958;0,961;0,910
minmax;LogitBoost;0,965;0,963;0,962;0,964;0,919;0,915;0,963;0,965;0,925
